tool,size,t_parse
sophia,10000,0.032714211
sophia,10000,0.028434847
sophia,10000,0.027856694
sophia,10000,0.027854224
sophia,20000,0.054854373
sophia,20000,0.055342881
sophia,20000,0.054570068
sophia,20000,0.054837615
sophia,40000,0.106888637
sophia,40000,0.106553609
sophia,40000,0.106664518
sophia,40000,0.109592715
sophia,80000,0.257956071
sophia,80000,0.261492416
sophia,80000,0.261934523
sophia,80000,0.261720299
sophia,100000,0.330117493
sophia,100000,0.332696522
sophia,100000,0.337313537
sophia,100000,0.328919937
sophia,1000000,3.294805331
sophia,1000000,3.320840148
sophia,1000000,3.374635862
sophia,1000000,3.287837852
sophia,10310000,36.110286311
sophia,10310000,34.198600346
sophia,10310000,34.328478063
sophia,10310000,34.145249474
